Name,Latitud,Longitud,Tipos
Cañadas Correas María Dolores,40.43746609999999,-3.7110067,"['pharmacy', 'health', 'point_of_interest', 'store', 'establishment']"
Farmacia Donoso,40.4366181,-3.715943600000001,"['pharmacy', 'health', 'point_of_interest', 'store', 'establishment']"
Farmacia,40.4378541,-3.714509900000001,"['pharmacy', 'health', 'point_of_interest', 'store', 'establishment']"
Farmacia Isaac Peral,40.4380262,-3.7176596,"['pharmacy', 'health', 'point_of_interest', 'store', 'establishment']"
Trebol Pharmacy,40.4348353,-3.700016299999999,"['pharmacy', 'health', 'point_of_interest', 'clothing_store', 'store', 'establishment']"
FARMACIA TRAFALGAR,40.4340309,-3.701813800000001,"['pharmacy', 'health', 'point_of_interest', 'store', 'establishment']"
Farmacia Lda. M°. E. Munilla Saavedra,40.4347616,-3.7031975,"['pharmacy', 'health', 'point_of_interest', 'store', 'establishment']"
Farmacia BM25,40.4359171,-3.704547599999999,"['pharmacy', 'health', 'point_of_interest', 'store', 'establishment']"
Farmacia La Cruz De Malta,40.4349151,-3.707036900000001,"['pharmacy', 'health', 'point_of_interest', 'store', 'establishment']"
"""Farmacia2Online"," Pharmacy Madrid""",40.4350971,"['3', '7064245', 'pharmacy', 'health', 'point_of_interest', 'store', 'establishment']"
Bonet Sánchez Gemma Y Emilio C B,40.4349477,-3.7070638,"['pharmacy', 'health', 'point_of_interest', 'store', 'establishment']"
Farmacia,40.4340414,-3.7073485,"['pharmacy', 'health', 'point_of_interest', 'store', 'establishment']"
Farmacia Fernando el Católico 10,40.4339512,-3.7074343,"['pharmacy', 'health', 'point_of_interest', 'store', 'establishment']"
Alonso Fernández Cano Elena,40.4352564,-3.7063689,"['pharmacy', 'health', 'point_of_interest', 'store', 'establishment']"
Farmacia,40.43517569999999,-3.7083646,"['pharmacy', 'health', 'point_of_interest', 'store', 'establishment']"
Farmacia María José Crespo Garrido,40.4338291,-3.7081767,"['pharmacy', 'health', 'point_of_interest', 'store', 'establishment']"
Farmacia Cámara Rica,40.4342875,-3.7111859,"['pharmacy', 'health', 'point_of_interest', 'store', 'establishment']"
Farmacia Centro Galileo (Lda. Mar Reina),40.4342875,-3.7111859,"['pharmacy', 'health', 'point_of_interest', 'store', 'establishment']"
Farmacia,40.43517569999999,-3.7083646,"['pharmacy', 'health', 'point_of_interest', 'store', 'establishment']"
Farmacia María José Crespo Garrido,40.4338291,-3.7081767,"['pharmacy', 'health', 'point_of_interest', 'store', 'establishment']"
Pharmacy Guzman El Bueno,40.4343881,-3.7130097,"['pharmacy', 'health', 'point_of_interest', 'store', 'establishment']"
Farmacia La Gran Manzana,40.4351785,-3.711682499999999,"['pharmacy', 'health', 'point_of_interest', 'store', 'establishment']"
Lavándula,40.4357916,-3.7129677,"['pharmacy', 'health', 'point_of_interest', 'store', 'establishment']"
Farmacia Cámara Rica,40.4342875,-3.7111859,"['pharmacy', 'health', 'point_of_interest', 'store', 'establishment']"
M Teresa Alvarez Atienza E Hijas C B,40.4343881,-3.7130097,"['pharmacy', 'health', 'point_of_interest', 'store', 'establishment']"
Farmacia Centro Galileo (Lda. Mar Reina),40.4342875,-3.7111859,"['pharmacy', 'health', 'point_of_interest', 'store', 'establishment']"
Farmacia Mª Pilar Tejera Fernández-Mazarambroz,40.4344892,-3.7153871,"['pharmacy', 'health', 'point_of_interest', 'store', 'establishment']"
Farmacia Maria Angustias,40.4349911,-3.7168565,"['pharmacy', 'health', 'point_of_interest', 'store', 'establishment']"
Pedro Antonio Carrasco Millán,40.4331491,-3.7149378,"['pharmacy', 'health', 'point_of_interest', 'store', 'establishment']"
Farmacia Sanchez Romero,40.434701,-3.718183,"['pharmacy', 'health', 'point_of_interest', 'store', 'establishment']"
Farmacia Maria Angustias,40.4349911,-3.7168565,"['pharmacy', 'health', 'point_of_interest', 'store', 'establishment']"
Vázquez Cano María Mar,40.4318955,-3.7004368,"['pharmacy', 'health', 'point_of_interest', 'store', 'establishment']"
Farmacia DIEGUEZ,40.4323475,-3.702442699999999,"['pharmacy', 'health', 'point_of_interest', 'store', 'establishment']"
Farmacia Moreno Blasco,40.43133350000001,-3.7008186,"['pharmacy', 'health', 'point_of_interest', 'store', 'establishment']"
Farmacia Pilar Bruna,40.4314058,-3.703792699999999,"['pharmacy', 'health', 'point_of_interest', 'store', 'establishment']"
Farmacia Ana M. de Diego Lopez,40.4326429,-3.7049147,"['pharmacy', 'health', 'point_of_interest', 'store', 'establishment']"
Miguel Angel Sáez García,40.432357,-3.7050607,"['pharmacy', 'health', 'point_of_interest', 'store', 'establishment']"
"""Portus Serrano"," Juan""",40.4312652,"['3', '70501', 'pharmacy', 'health', 'point_of_interest', 'store', 'establishment']"
Farmacia DIEGUEZ,40.4323475,-3.702442699999999,"['pharmacy', 'health', 'point_of_interest', 'store', 'establishment']"
Cosín Borobio Ana María,40.4326646,-3.7082528,"['pharmacy', 'health', 'point_of_interest', 'store', 'establishment']"
Farmacia del Arco - María Junco,40.431459,-3.7078294,"['pharmacy', 'health', 'point_of_interest', 'store', 'establishment']"
Maria Junco,40.431459,-3.7078294,"['pharmacy', 'health', 'point_of_interest', 'store', 'establishment']"
Farmacia Arapiles,40.43272949999999,-3.7084888,"['pharmacy', 'health', 'point_of_interest', 'store', 'establishment']"
Farmacia,40.43271800000001,-3.7105515,"['pharmacy', 'health', 'point_of_interest', 'store', 'establishment']"
Cosín Borobio Ana María,40.4326646,-3.7082528,"['pharmacy', 'health', 'point_of_interest', 'store', 'establishment']"
Farmacia,40.43157059999999,-3.7110738,"['pharmacy', 'health', 'point_of_interest', 'store', 'establishment']"
Farmacia Carril Batalla,40.431653,-3.713799,"['pharmacy', 'health', 'point_of_interest', 'store', 'establishment']"
"""Farmacia Moncloa Farmacia 14 horas"," Parafarmacia""",40.4322643,"['3', '7169357', 'pharmacy', 'health', 'point_of_interest', 'store', 'establishment']"
Farmacia Manteca Tahoces,40.433196,-3.7170674,"['pharmacy', 'health', 'point_of_interest', 'store', 'establishment']"
Ana María Palma García,40.43287410000001,-3.7157697,"['pharmacy', 'health', 'point_of_interest', 'store', 'establishment']"
Farmacia,40.43203829999999,-3.7146603,"['pharmacy', 'health', 'point_of_interest', 'store', 'establishment']"
Pedro Antonio Carrasco Millán,40.4331491,-3.7149378,"['pharmacy', 'health', 'point_of_interest', 'store', 'establishment']"
Farmacia Carril Batalla,40.431653,-3.713799,"['pharmacy', 'health', 'point_of_interest', 'store', 'establishment']"
Farmacia María Dolores Grande Pérez,40.4321121,-3.717054,"['pharmacy', 'health', 'point_of_interest', 'store', 'establishment']"
"""Farmacia Moncloa Farmacia 14 horas"," Parafarmacia""",40.4322643,"['3', '7169357', 'pharmacy', 'health', 'point_of_interest', 'store', 'establishment']"
Farmacia Manteca Tahoces,40.433196,-3.7170674,"['pharmacy', 'health', 'point_of_interest', 'store', 'establishment']"
Farmacia militar,40.4329982,-3.718284700000001,"['pharmacy', 'health', 'point_of_interest', 'store', 'establishment']"
Lda C Acacio Farmacia,40.4313311,-3.7180292,"['pharmacy', 'health', 'point_of_interest', 'store', 'establishment']"
Farmacia Altamirano (Javier García Palomo),40.43131350000001,-3.718091,"['pharmacy', 'health', 'point_of_interest', 'store', 'establishment']"
Farmacia Palmaz Arenas,40.4313306,-3.719737799999999,"['pharmacy', 'health', 'point_of_interest', 'store', 'establishment']"
